City,Month,High Temp,Low Temp,Mean Temp,Precipitation
Abu Dhabi,August,110 °F,89 °F,100 °F,"0.00"""
Managua,August,90 °F,74 °F,82 °F,"6.15"""
Accra,August,83 °F,74 °F,78 °F,"1.83"""
Manama,August,104 °F,91 °F,98 °F,"0.21"""
Addis Ababa,August,69 °F,54 °F,62 °F,"8.77"""
Manila,August,88 °F,77 °F,82 °F,"23.42"""
Algiers,August,91 °F,69 °F,80 °F,"0.38"""
Maputo,August,80 °F,59 °F,70 °F,"0.58"""
Alofi,August,79 °F,68 °F,74 °F,"2.61"""
Mbabane,August,78 °F,52 °F,65 °F,"0.84"""
Amman,August,91 °F,70 °F,81 °F,"1.73"""
Mexico City,August,75 °F,56 °F,66 °F,"7.76"""
Amsterdam,August,72 °F,56 °F,64 °F,"4.05"""
Minsk,August,74 °F,56 °F,65 °F,"2.78"""
Ankara,August,88 °F,62 °F,75 °F,"0.65"""
Monaco,August,82 °F,70 °F,76 °F,"1.03"""
Antananarivo,August,73 °F,50 °F,61 °F,"0.30"""
Monrovia,August,82 °F,74 °F,78 °F,"8.16"""
Apia,August,86 °F,74 °F,80 °F,"3.71"""
Montevideo,August,64 °F,48 °F,56 °F,"3.80"""
Ashgabat,August,99 °F,72 °F,86 °F,"0.07"""
Moroni,August,85 °F,69 °F,77 °F,"0.70"""
Astana,August,78 °F,53 °F,66 °F,"1.28"""
Moscow,August,74 °F,57 °F,65 °F,"2.48"""
Asuncion,August,82 °F,57 °F,70 °F,"1.49"""
Muscat,August,94 °F,88 °F,91 °F,"4.28"""
Athens,August,93 °F,76 °F,85 °F,"0.21"""
N'Djamena,August,89 °F,73 °F,81 °F,"8.06"""
Baghdad,August,98 °F,72 °F,85 °F,"0.11"""
Nairobi,August,74 °F,55 °F,64 °F,"0.69"""
Baku,August,89 °F,72 °F,80 °F,"0.27"""
Nassau,August,92 °F,77 °F,84 °F,"7.74"""
Bamako,August,87 °F,72 °F,79 °F,"11.04"""
New Delhi,August,95 °F,80 °F,88 °F,"10.06"""
Bandar Seri Begawan,August,91 °F,75 °F,83 °F,"9.52"""
Ngerulmud,August,87 °F,76 °F,82 °F,"13.03"""
Bangkok,August,92 °F,79 °F,85 °F,"7.87"""
Niamey,August,91 °F,75 °F,83 °F,"7.97"""
Bangui,August,87 °F,71 °F,79 °F,"7.95"""
Nicosia,August,99 °F,83 °F,91 °F,"1.06"""
Banjul,August,88 °F,75 °F,81 °F,"8.10"""
North Nicosia,August,99 °F,83 °F,91 °F,"1.06"""
Basseterre,August,88 °F,78 °F,83 °F,"3.02"""
Nuku'alofa,August,77 °F,65 °F,71 °F,"3.10"""
Beijing,August,87 °F,70 °F,79 °F,"4.96"""
Nuuk,August,52 °F,40 °F,46 °F,"3.96"""
Belgrade,August,87 °F,67 °F,77 °F,"1.79"""
Oranjestad,August,92 °F,81 °F,86 °F,"0.91"""
Belmopan,August,90 °F,78 °F,84 °F,"7.32"""
Oslo,August,70 °F,54 °F,62 °F,"3.91"""
Berlin,August,76 °F,58 °F,67 °F,"2.33"""
Ottawa,August,79 °F,58 °F,68 °F,"3.21"""
Bern,August,76 °F,55 °F,65 °F,"2.30"""
Palikir,August,89 °F,74 °F,81 °F,"14.37"""
Bishkek,August,88 °F,62 °F,75 °F,"0.42"""
