City,Month,High Temp,Low Temp,Mean Temp,Precipitation
Abu Dhabi,August,110,89,100,0.0
Managua,August,90,74,82,6.15
Accra,August,83,74,78,1.83
Manama,August,104,91,98,0.21
Addis Ababa,August,69,54,62,8.77
Manila,August,88,77,82,23.42
Algiers,August,91,69,80,0.38
Maputo,August,80,59,70,0.58
Alofi,August,79,68,74,2.61
Mbabane,August,78,52,65,0.84
Amman,August,91,70,81,1.73
Mexico City,August,75,56,66,7.76
Amsterdam,August,72,56,64,4.05
Minsk,August,74,56,65,2.78
Ankara,August,88,62,75,0.65
Monaco,August,82,70,76,1.03
Antananarivo,August,73,50,61,0.3
Monrovia,August,82,74,78,8.16
Apia,August,86,74,80,3.71
Montevideo,August,64,48,56,3.8
Ashgabat,August,99,72,86,0.07
Moroni,August,85,69,77,0.7
Astana,August,78,53,66,1.28
Moscow,August,74,57,65,2.48
Asuncion,August,82,57,70,1.49
Muscat,August,94,88,91,4.28
Athens,August,93,76,85,0.21
N'Djamena,August,89,73,81,8.06
Baghdad,August,98,72,85,0.11
Nairobi,August,74,55,64,0.69
Baku,August,89,72,80,0.27
Nassau,August,92,77,84,7.74
Bamako,August,87,72,79,11.04
New Delhi,August,95,80,88,10.06
Bandar Seri Begawan,August,91,75,83,9.52
Ngerulmud,August,87,76,82,13.03
Bangkok,August,92,79,85,7.87
Niamey,August,91,75,83,7.97
Bangui,August,87,71,79,7.95
Nicosia,August,99,83,91,1.06
Banjul,August,88,75,81,8.1
North Nicosia,August,99,83,91,1.06
Basseterre,August,88,78,83,3.02
Nuku'alofa,August,77,65,71,3.1
Beijing,August,87,70,79,4.96
Nuuk,August,52,40,46,3.96
Belgrade,August,87,67,77,1.79
Oranjestad,August,92,81,86,0.91
Belmopan,August,90,78,84,7.32
Oslo,August,70,54,62,3.91
Berlin,August,76,58,67,2.33
Ottawa,August,79,58,68,3.21
Bern,August,76,55,65,2.3
Palikir,August,89,74,81,14.37
Bishkek,August,88,62,75,0.42
Panama,August,88,76,82,8.41
Bissau,August,86,76,81,11.63
Paramaribo,August,91,76,84,4.92
Bogota,August,66,48,57,2.82
Paris,August,78,56,67,1.77
Brades,August,88,78,83,3.52
Podgorica,August,93,71,82,1.29
Brasilia,August,83,56,70,0.39
Port-au-Prince,August,94,79,86,2.48
Bratislava,August,81,61,71,2.17
Port Louis,August,73,62,67,3.83
Brazzaville,August,85,68,76,0.65
Port of Spain,August,91,75,83,8.38
Bridgetown,August,88,77,82,6.38
Port Vila,August,81,64,72,2.73
Brussels,August,73,56,65,3.05
Porto Novo,August,83,75,79,2.2
Bucharest,August,87,59,73,1.88
Prague,August,76,55,65,2.56
